PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
FLORES CORTES DON BENITO, S.L.;94,55;1143,24;;754,58;741,16;
FOILFIX, SL;9074,41;3229,92;;2372,30;5817,08;
FORES BRICO, S.L.U.;64,82;;;;;
FREIXER Y COLLELL, S.A.;;;;13,39;;
FUN AND GO 2035, SL;118,16;;;265,84;;
GALA GAR, S.L.;;;;;;
GARCIMA, S.L.;853,55;;;1621,86;;
GARHE, S.A.;;;;12,74;;
GENERAL DE MEDICION, S.L.;120,80;2310,30;;179,32;1708,58;
GERIMPORT, S.L.;;;;;;
GERMANS BOADA, S.A.;;2231,48;;227,19;4735,61;
GOIZPER S.COOP.;;7280,41;;16,24;6402,53;
GOLDEN DAY INDUSTRY;;;;73,3;;
GROUPE SEB IBERICA, S.A.;;;;77,88;;
GRUPODESA FASTENERS, S.A.U.;12,78;4834,43;;;7295,87;
GUANGZHOU TOPMAX ENT., LTD.;378,07;;;169,64;;
HENKEL IBERICA ,S.A.;;;;159,42;;
HENKEL IBERICA, S.A. INDUSTRIA;3043,33;;;520,06;;269,3
HEPYC MANUFACTURING, S.A.U;;9282,01;;;10814,85;
HERTER INSTRUMENTS, S.L.;;;;9,34;;
HEZE JINZHIYU WEB IND.CO.LTD.;35,12;;;134,87;;
HIDROBEX, S.L.;111,58;;;;;
HILOS Y CUERDAS DEL SEGURA, SL;;;;600,44;;
HOZELOCK - EXEL SAS;733,30;;;302,30;;
HUSQVARNA ESPAÑA, S.A;87,76;;;;;
HUSQVARNA ESPAÑA, S.A.;;7644,71;;;525,80;
IBERIA AGUA, S.L.;819;;;793,95;;
IFAM SEGURIDAD, S.L.U.;82,05;2405,39;;;3660,85;
IMEX EL ZORRO, S.L.;228,59;;;211,87;;
IMPEX EUROPA, S.L.;632,10;;;337,12;;
IND STARTER ESPAÑA,  S.L.U;63,57;;;267,12;;
IND. METALIC. CASINENSES, S.L.;;25,6;;;;
IND. QUIM. CUADRADO, S.A.;1075,92;;;795,79;;
INDUSTRIAL PRECISION TOOLS, SL;153,18;4495,78;;110,92;3132,61;
INDUSTRIAL ZAPATERA,S.A.;1456,84;;;1023,42;;
INDUSTRIAS AZKOIN, S.L.;;;;175,47;;
INDUSTRIAS FER, S.L.U;;;;;;
INDUSTRIAS IRIS, S.A.;;;;;;
INDUSTRIAS LOTU, S.A.;;;;;;
INDUSTRIAS MURTRA, S.A.;;1712,67;;;4014,53;
INDUSTRIAS SAMART, S.A.;;150;;;1805,02;
INDUSTRIAS TAYG, S.L.;597,58;6686,20;;4426,61;1586,70;
INNOV8 IBERIA, SL;;;;9,68;;
INTERMAS NETS, SA;;;;;;
IREGA, S.A;;74,87;;;192,97;
ITEM INTERNACIONAL, S.A.;;;;;;
IZAR CUTTING TOOLS, S.A.L.;;29,92;;119,62;;
JAIME GARCIA MOLL, S.L.;34,13;;;;;
JAZ-ZUBIAURRE, S.A.;;59,55;;;107,45;
JCOPLASTIC IBERICA 2000, S.L.;86,19;;;258,57;;
JMA ALEJANDRO ALTUNA, S.L.;201,80;;;448,55;;
JUBA PERSONAL PROT.EQUIP.,S.L;;23552,64;;78,28;18789,13;
KARCHER, S.A.;153,86;;;;;
KB8 IBERICA, SLU;70,54;;;;;
KELNO HK LIMITED;2021,42;;;1095,18;;
KERKOM 360, S.A;16,36;;;38,54;;
KETER IBERIA, S.L.U.;231,49;;;;;
KNIPEX-WERK;3621,02;;;4979,71;;
KOOPMAN INTERNATIONAL, B.V.;;;;;;
KOVYX OUTDOOR, S.L.;;;;8,32;;
KRAFFT, S.L. (Unipersonal);256,86;46070,77;;1438,61;49084,03;
KRIPXE. S.A.;;1427,37;;;4067,16;
LABORATORIOS RAYT, S.A.;299,54;;;343,09;;
LAICA IBERIA DISTRIBUCION SL;;;;;;
LEDVANCE, S.A.U.;;;;;;
LINEA PLUS ESSEGE, S.L.U.;;;;215,58;;
MAIOL GERMANS, S.L.;335,53;;;789,92;;
MAKITA ESPAÑA, S.A.;;101256,74;;;94255,01;
MANUEL OBRERO RUIZ, S.A.;184,34;;;;;
MANUFACTURAS ALCO S.A.;;;;39,88;;
MANUFACTURAS M. SOLER, S.L.;141,69;;;206,01;;
MAQUINARIA DISBER, S.L.;544,94;;;480,30;;
MARCA PROTECCION LABORAL, S.L.;;5879,22;;569,06;8767,76;
MEPLAS JAR, S.L.;;14241,68;;;16372,61;
METALTEX IBERIA, S.L.;2,13;;;;;
MIARCO, S.L.;;;;;295,39;
MICEL-VEGA, S.L.;;;;25,64;;
MIRALBUENO PRODUCTS, S.L.;;;;;923,28;
MODERN BATH STAGE,S.L.;;;;13,16;;
MOTORES CAMPEON, S.L.;828,57;1856,81;;802,58;;
NEVIR, S.A.;49,46;;;49,46;;
NINGBO POWERFUL POOL E.CO.LTD;72,66;;;;;
NINGBO ZHONGLIN FOREIGN TRADE CO., LTD;28,01;;;28,83;;
NORTENE HOME DEPOT SL;368,90;4122,71;;971,59;14091,50;
NOVARTIX TRADING, S.L.;1329,08;;;67,52;363;
NOVODINAMICA SL;;239;;;333;
OLIPES, S.L.;;;;;;
OLIVERAS GUERRIS, S.A.;67,05;;;54;;
OPTOR, S.A.U.;96,34;4669,04;;179,65;5199,98;
PAPELES EL CARMEN, S.A.;;;;32,25;;
PFERD-RUGGEBERG, S.A.;;1381,34;;;1937,96;
PLABELL COMERCIAL, S.L.;;441,74;;;;
PLASMIR, S.A.;92,95;;;;;
PLASTICOS TA-TAY, S.A.;236,79;;;293,10;;
PLASTIKEN, S.L.U.;162,36;;;;;
PLASVIDAVI INYECCION, S.L.;37,49;;;18,74;;
PRIMICIAS TECN. CARDI, S.L.;445,16;;;311,72;;
PROCO-DIS, S.L.;12,25;;;13,74;;
PRODUCTOS CLIMAX S.A.;1141,42;4412,28;;359,73;5799,27;
PRODUCTOS FLOWER, S.A.;23,89;;;89,31;;
PRODUCTOS McLAND, S.L.;278,00;;;1009,20;1700,54;
PRODUCTOS QP, S.A.;;;;189,49;;
QINGDAO GOLD-DRAGON CO., LTD;;;;706,95;;
QUALIMAX INTERNACIONAL, S.L.;12,1;;;;;
QUIMICA DEL CENTRO, S.A.U.;372,37;;;287,17;;
QUIMIMONT, S.L.U;;;;;522,71;
RADIO CARRERA, S.A;536,43;;;;;295,96
RIOJA MOMOSA 93, S.L;;4483,27;;;5667,45;
RIVER INTERNATIONAL, S.A.;55,46;;;21,83;;
ROBERT BOSCH ESPAÑA, S.L.U.;1244,46;;;392,18;;
ROLSER, S.A.;286,64;;;454,87;;
ROMBULL RONETS, S.L.;1025,23;438,83;;214,02;406,0;
RUEDAS ALEX, S.L.U.;;6213,33;;;10215,37;
RUGART PLASTICOS IBERICA, SL;1110,99;;;972,79;;
RULO PLUMA, S.A.;;2105,25;;118,38;2245,13;
S.A. HERRAJES DE CORREDERA;;1678,58;;;2049,25;
SAINT GENIS, S.A.;;;;1,52;;
SAINT GOBAIN ABRASIVOS, S.A.;224,09;3931,70;;182,07;2085,75;
SAMOA INDUSTRIAL, S.A.;;2390,33;;;5154,47;
SANZ HERMANOS VALENCIA, S.L;;75,26;;;;
SAUVIC, S.L.;;;;11,02;;
SEDILES, S.A.;169,86;;;384,32;;
SEINEC, S.A.;1255,47;;;1704,56;;
SELENA IBERIA, S.L.U.;;;;;;
SHANGHAI STONG INDUSTRY CO., LTD;19,81;;;;;
SILVER SANZ, S.A.;93,49;160,75;;;;
SIMON BRICO, S.L.;152,45;;;20,43;;
