PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
FOILFIX, SL;7641,57;;;50,4;4576,58;
FORES BRICO, S.L.U.;64,82;;;;;
FREIXER Y COLLELL, S.A.;;;;13,39;;
FUN AND GO 2035, SL;118,16;;;103,22;;
GALA GAR, S.L.;;;;;;
GARCIMA, S.L.;429,91;;;603,13;;
GARHE, S.A.;;;;;;
GENERAL DE MEDICION, S.L.;;938,84;;103,88;613,48;
GERIMPORT, S.L.;;;;;;
GERMANS BOADA, S.A.;;2074,98;;95,24;1818,65;
GOIZPER S.COOP.;;4564,76;;16,24;5911,57;
GOLDEN DAY INDUSTRY;;;;73,3;;
GROUPE SEB IBERICA, S.A.;;;;77,88;;
GRUPODESA FASTENERS, S.A.U.;;2670,81;;;5648,37;
GUANGZHOU TOPMAX ENT., LTD.;84,89;;;169,64;;
HAGEBAU GMBH & CO. KG;;;;;;
HENKEL IBERICA ,S.A.;;;;91,61;;
HENKEL IBERICA, S.A. INDUSTRIA;3043,33;;;;;269,3
HEPYC MANUFACTURING, S.A.U;;4303,02;;;5239,27;
HERTER INSTRUMENTS, S.L.;;;;;;
HEZE JINZHIYU WEB IND.CO.LTD.;;;;75,91;;
HIDROBEX, S.L.;111,58;;;;;
HILOS Y CUERDAS DEL SEGURA, SL;;;;360,19;;
HOZELOCK - EXEL SAS;627,45;;;302,30;;
HUSQVARNA ESPAÑA, S.A;87,76;;;;;
HUSQVARNA ESPAÑA, S.A.;;5494,71;;;245,84;
IBERIA AGUA, S.L.;315;;;434,85;;
IFAM SEGURIDAD, S.L.U.;;1227,80;;;1591,85;
IMEX EL ZORRO, S.L.;140,67;;;54,11;;
IMPEX EUROPA, S.L.;252,84;;;168,56;;
INASIA GROUP LIMITED;;;;;;
IND STARTER ESPAÑA,  S.L.U;;;;214,14;;
IND. QUIM. CUADRADO, S.A.;306,54;;;487,48;;
INDUAL MOBILIARIO, S.L.;;;;;;
INDUSTRIAL PRECISION TOOLS, SL;83,2;3105,82;;110,92;1082,16;
INDUSTRIAL ZAPATERA,S.A.;654,38;;;661,31;;
INDUSTRIAS AZKOIN, S.L.;;;;31,57;;
INDUSTRIAS FER, S.L.U;;;;;;
INDUSTRIAS IRIS, S.A.;;;;;;
INDUSTRIAS LOTU, S.A.;;;;;;
INDUSTRIAS MURTRA, S.A.;;920,93;;;2867,29;
INDUSTRIAS SAMART, S.A.;;150;;;1805,02;
INDUSTRIAS TAYG, S.L.;247,22;2970,31;;2082,60;1153,54;
INDUSTRIAS TITAN, S.A.;;;;;;
INNOV8 IBERIA, SL;;;;9,68;;
INTERMAS NETS, SA;;;;;;
IREGA, S.A;;74,87;;;192,97;
ISOGONA, S.L.;;;;;;
ITEM INTERNACIONAL, S.A.;;;;;;
IZAR CUTTING TOOLS, S.A.L.;;;;;;
JAZ-ZUBIAURRE, S.A.;;;;;62,01;
JCOPLASTIC IBERICA 2000, S.L.;86,19;;;258,57;;
JMA ALEJANDRO ALTUNA, S.L.;77,46;;;211,10;;
JUBA PERSONAL PROT.EQUIP.,S.L;;12433,41;;78,28;9948,37;
JUGUETES INDUSTRIALES S.A.;;;;;;
KARCHER, S.A.;;;;;;
KB8 IBERICA, SLU;70,54;;;;;
KELNO HK LIMITED;630,87;;;862,95;;
KERKOM 360, S.A;;;;19,27;;
KETER IBERIA, S.L.U.;55,26;;;;;
KNIPEX-WERK;1833,20;;;3357,23;;
KOOPMAN INTERNATIONAL, B.V.;;;;;;
KOVYX OUTDOOR, S.L.;;;;;;
KRAFFT, S.L. (Unipersonal);256,86;22427,87;;520,90;28358,60;
KRIPXE. S.A.;;1309,79;;;1834,56;
LABORATORIOS RAYT, S.A.;299,54;;;176,38;;
LAICA IBERIA DISTRIBUCION SL;;;;;;
LEDVANCE, S.A.U.;;;;;;
LINEA PLUS ESSEGE, S.L.U.;;;;;;
