PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
FLORES CORTES DON BENITO, S.L.;112,82;1143,24;;757,99;741,16;
FOILFIX, SL;10892,41;5605,92;;3664,32;5817,08;
FORES BRICO, S.L.U.;64,82;;;;;
FREIXER Y COLLELL, S.A.;;;;13,39;;
FUN AND GO 2035, SL;118,16;;;296,80;;
GARCIMA, S.L.;853,55;;;1621,86;;
GARHE, S.A.;;;;12,74;;
GENERAL DE MEDICION, S.L.;120,80;2499,79;;179,32;1708,58;
GERMANS BOADA, S.A.;;3219,61;;227,19;4735,61;
GOIZPER S.COOP.;;5986,59;;16,24;6402,53;
GOLDEN DAY INDUSTRY;;;;73,3;;
GROUPE SEB IBERICA, S.A.;;;;77,88;;
GRUPODESA FASTENERS, S.A.U.;12,78;4874,71;;;7498,62;
GUANGZHOU TOPMAX ENT., LTD.;378,07;;;169,64;;
HENKEL IBERICA ,S.A.;;;;284,06;;
HENKEL IBERICA, S.A. INDUSTRIA;3651,40;;;520,06;;269,3
HEPYC MANUFACTURING, S.A.U;;9282,01;;;10814,85;
HERTER INSTRUMENTS, S.L.;;;;9,34;;
HEZE JINZHIYU WEB IND.CO.LTD.;35,12;;;134,87;;
HIDROBEX, S.L.;111,58;;;;;
HILOS Y CUERDAS DEL SEGURA, SL;;;;600,44;;
HOZELOCK - EXEL SAS;733,30;;;302,30;;
HUSQVARNA ESPAÑA, S.A;87,76;;;;;
HUSQVARNA ESPAÑA, S.A.;;7644,71;;;525,80;
IBERIA AGUA, S.L.;819;;;901,95;;
IFAM SEGURIDAD, S.L.U.;82,05;2593,63;;;3660,85;
IMEX EL ZORRO, S.L.;228,59;;;211,87;;
IMPEX EUROPA, S.L.;800,66;;;417,12;;
IND STARTER ESPAÑA,  S.L.U;63,57;;;267,12;624;
IND. METALIC. CASINENSES, S.L.;;25,6;;;;
IND. QUIM. CUADRADO, S.A.;1166,22;;;913,82;;
INDUSTRIAL PRECISION TOOLS, SL;153,18;4495,78;;110,92;3132,61;
INDUSTRIAL ZAPATERA,S.A.;1522,34;;;1184,94;;
INDUSTRIAS AZKOIN, S.L.;;;;175,47;;
INDUSTRIAS FER, S.L.U;;;;;;
INDUSTRIAS IRIS, S.A.;;;;;;
INDUSTRIAS MURTRA, S.A.;;1712,67;;;4794,74;
INDUSTRIAS PIQUERAS, S.A.;72,12;;;;;
INDUSTRIAS SAMART, S.A.;;150;;;1805,02;
INDUSTRIAS TAYG, S.L.;868,73;6686,20;;5378,67;1586,70;
INNOV8 IBERIA, SL;;;;9,68;;
