PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
FLORES CORTES DON BENITO, S.L.;94,55;1143,24;;703,78;741,16;
FOILFIX, SL;8905,93;3229,92;;136,56;4576,58;
FORES BRICO, S.L.U.;64,82;;;;;
FREIXER Y COLLELL, S.A.;;;;13,39;;
FUN AND GO 2035, SL;118,16;;;206,43;;
GALA GAR, S.L.;;;;;;
GARCIMA, S.L.;853,55;;;1621,86;;
GARHE, S.A.;;;;12,74;;
GENERAL DE MEDICION, S.L.;120,80;1987,87;;132,17;839,29;
GERIMPORT, S.L.;;;;;;
GERMANS BOADA, S.A.;;2231,48;;227,19;4735,61;
GOIZPER S.COOP.;;7262,17;;16,24;6402,53;
GOLDEN DAY INDUSTRY;;;;73,3;;
GROUPE SEB IBERICA, S.A.;;;;77,88;;
GRUPODESA FASTENERS, S.A.U.;;3746,80;;;6591,86;
GUANGZHOU TOPMAX ENT., LTD.;378,07;;;169,64;;
HENKEL IBERICA ,S.A.;;;;159,42;;
HENKEL IBERICA, S.A. INDUSTRIA;3043,33;;;520,06;;269,3
HEPYC MANUFACTURING, S.A.U;;7998,46;;;8418,65;
HERTER INSTRUMENTS, S.L.;;;;9,34;;
HEZE JINZHIYU WEB IND.CO.LTD.;35,12;;;134,87;;
HIDROBEX, S.L.;111,58;;;;;
HILOS Y CUERDAS DEL SEGURA, SL;;;;600,44;;
HOZELOCK - EXEL SAS;733,30;;;302,30;;
HUSQVARNA ESPAÑA, S.A;87,76;;;;;
HUSQVARNA ESPAÑA, S.A.;;7644,71;;;525,80;
IBERIA AGUA, S.L.;675;;;769,20;;
IFAM SEGURIDAD, S.L.U.;48,52;2111,37;;;2744,32;
IMEX EL ZORRO, S.L.;228,59;;;159,61;;
IMPEX EUROPA, S.L.;400,33;;;337,12;;
IND STARTER ESPAÑA,  S.L.U;63,57;;;267,12;;
IND. METALIC. CASINENSES, S.L.;;25,6;;;;
IND. QUIM. CUADRADO, S.A.;605,23;;;737,74;;
INDUSTRIAL PRECISION TOOLS, SL;111,19;3988,75;;110,92;2474,03;
INDUSTRIAL ZAPATERA,S.A.;1424,09;;;760,07;;
INDUSTRIAS AZKOIN, S.L.;;;;175,47;;
INDUSTRIAS FER, S.L.U;;;;8,69;;
INDUSTRIAS IRIS, S.A.;;;;;;
