PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
GOLDEN DAY INDUSTRY;;;;;;
GROUPE SEB IBERICA, S.A.;;;;;;
GRUPODESA FASTENERS, S.A.U.;;918,36;;;2673,49;
GUANGZHOU TOPMAX ENT., LTD.;;;;;;
HAGEBAU GMBH & CO. KG;;;;;;
HENKEL IBERICA ,S.A.;;;;;;
HENKEL IBERICA, S.A. INDUSTRIA;579,8;;;;;
HEPYC MANUFACTURING, S.A.U;;1131,67;;;2011,54;
HERTER INSTRUMENTS, S.L.;;;;;;
HEZE JINZHIYU WEB IND.CO.LTD.;;;;40,86;;
HILOS Y CUERDAS DEL SEGURA, SL;;;;129,91;;
HOZELOCK - EXEL SAS;;;;;;
HUSQVARNA ESPAÑA, S.A.;;1785;;;;
IBERIA AGUA, S.L.;;;;238,35;;
IFAM SEGURIDAD, S.L.U.;;882,48;;;536,29;
IMCOINSA 1985, S.L.;;;;;;
IMEX EL ZORRO, S.L.;;;;;;
IMPEX EUROPA, S.L.;168,56;;;168,56;;
INASIA GROUP LIMITED;;;;;;
IND STARTER ESPAÑA,  S.L.U;;;;42,38;;
IND. QUIM. CUADRADO, S.A.;;;;42,17;;
INDUAL MOBILIARIO, S.L.;;;;;;
INDUSTRIAL PRECISION TOOLS, SL;41,6;101,46;;27,73;541,08;
INDUSTRIAL ZAPATERA,S.A.;197,51;;;35,20;;
INDUSTRIAS AZKOIN, S.L.;;;;;;
INDUSTRIAS FER, S.L.U;;;;;;
INDUSTRIAS IRIS, S.A.;;;;;;
INDUSTRIAS LOTU, S.A.;;;;;;
INDUSTRIAS MURTRA, S.A.;;513,24;;;1057,52;
INDUSTRIAS SAMART, S.A.;;150;;;;
INDUSTRIAS TAYG, S.L.;78,38;563,24;;458,45;497,56;
INDUSTRIAS TITAN, S.A.;;;;;;
INNOV8 IBERIA, SL;;;;;;
INTERMAS NETS, SA;;;;;;
IREGA, S.A;;74,87;;;123,03;
ISOGONA, S.L.;;;;;;
ITEM INTERNACIONAL, S.A.;;;;;;
IZAR CUTTING TOOLS, S.A.L.;;;;;;
JAZ-ZUBIAURRE, S.A.;;;;;;
JCOPLASTIC IBERICA 2000, S.L.;28,73;;;201,11;;
JMA ALEJANDRO ALTUNA, S.L.;21,04;;;99,11;;
JUBA PERSONAL PROT.EQUIP.,S.L;;2405,83;;78,28;903,3;
JUGUETES INDUSTRIALES S.A.;;;;;;
KB8 IBERICA, SLU;;;;;;
KELNO HK LIMITED;9,61;;;181,42;;
KERKOM 360, S.A;;;;19,27;;
KETER IBERIA, S.L.U.;;;;;;
KNIPEX-WERK;;;;1273,96;;
KOOPMAN INTERNATIONAL, B.V.;;;;;;
KOVYX OUTDOOR, S.L.;;;;;;
KRAFFT, S.L. (Unipersonal);;4338,70;;242,76;9710,01;
KRIPXE. S.A.;;198,66;;;903,18;
LABORATORIOS RAYT, S.A.;137,32;;;39,4;;
LAICA IBERIA DISTRIBUCION SL;;;;;;
LEDVANCE, S.A.U.;;;;;;
LINEA PLUS ESSEGE, S.L.U.;;;;;;
M. ALMORIN, S.L.;;;;;;
MAIOL GERMANS, S.L.;;;;;;
MAKITA ESPAÑA, S.A.;;17248,66;;;11959,28;
MANUEL OBRERO RUIZ, S.A.;;;;;;
MANUFACTURAS ALCO S.A.;;;;;;
MANUFACTURAS GRE, S.A.;;;;;;
MANUFACTURAS M. SOLER, S.L.;;;;10,04;;
MAQUINARIA DISBER, S.L.;116,74;;;;;
MARCA PROTECCION LABORAL, S.L.;;1194,68;;;1122,56;
MEPLAS JAR, S.L.;;2595,72;;;5294,92;
MIARCO, S.L.;;;;;;
MICEL-VEGA, S.L.;;;;;;
MIRALBUENO PRODUCTS, S.L.;;;;;61,38;
MODERN BATH STAGE,S.L.;;;;13,16;;
MOTORES CAMPEON, S.L.;;838;;425,57;;
NEVIR, S.A.;49,46;;;;;
NINGBO BATTERY & ELEC.APPL,LTD;;;;;;
NINGBO ZHONGLIN FOREIGN TRADE CO., LTD;;;;;;
NMZ, SL;;;;;;
NORTENE HOME DEPOT SL;;;;28,59;6238,38;
NOVARTIX TRADING, S.L.;;;;;;
NOVODINAMICA SL;;;;;;
OLIPES, S.L.;;;;;;
OLIVERAS GUERRIS, S.A.;67,05;;;;;
OPTOR, S.A.U.;;;;;1157,76;
PAPELES EL CARMEN, S.A.;;;;32,25;;
PFERD-RUGGEBERG, S.A.;;;;;488,71;
PLABELL COMERCIAL, S.L.;;;;;;
PLASTICOS TA-TAY, S.A.;36,1;;;89,77;;
PLASTIKEN, S.L.U.;;;;;;
PLASVIDAVI INYECCION, S.L.;;;;;;
PONTAROLO ENGINEERING SPA;;;;;;
PRACTICEL, S.L.;;;;;;
PRIMICIAS TECN. CARDI, S.L.;53,9;;;120,68;;
PROCO-DIS, S.L.;;;;;;
PRODUCTOS CLIMAX S.A.;243,6;;;;1230,73;
PRODUCTOS FLOWER, S.A.;;;;7,12;;
PRODUCTOS McLAND, S.L.;;;;;540,77;
PRODUCTOS QP, S.A.;;;;;;
QINGDAO GOLD-DRAGON CO., LTD;;;;;;
QUIMICA DEL CENTRO, S.A.U.;62,46;;;130,40;;
QUIMIMONT, S.L.U;;;;;522,71;
RADIO CARRERA, S.A;;;;;;
RESINAS OLOT, S.L.;;;;;;
RIOJA MOMOSA 93, S.L;;;;;735,52;
RIVER INTERNATIONAL, S.A.;;;;;;
ROBERT BOSCH ESPAÑA, S.L.U.;104,99;;;234,56;;
ROLSER, S.A.;;;;129,07;;
ROMBULL RONETS, S.L.;;;;;;
RUEDAS ALEX, S.L.U.;;806,77;;;2447,55;
RUGART PLASTICOS IBERICA, SL;117,97;;;684,32;;
RULO PLUMA, S.A.;;;;;347,11;
S.A. HERRAJES DE CORREDERA;;;;;188,62;
SAINT GENIS, S.A.;;;;1,52;;
SAINT GOBAIN ABRASIVOS, S.A.;;585;;116,47;;
SAMOA INDUSTRIAL, S.A.;;400,59;;;;
SAUVIC, S.L.;;;;;;
SEDILES, S.A.;84,93;;;;;
SEINEC, S.A.;126,85;;;169,31;;
SELENA IBERIA, S.L.U.;;;;;;
SHANGHAI STONG INDUSTRY CO., LTD;;;;;;
SILVER SANZ, S.A.;;;;;;
SIMON BRICO, S.L.;;;;;;
SNA EUROPE INDUSTR. IBERIA,S.A;276,46;1758,45;;23,18;3860,70;
SOURCING SPECIALISTS S.L.;326,66;;;1965,40;;
SPAX TORNILLERIA, S.A.U.;;3860,82;;12,81;1500,94;
SP-BERNER PLASTIC GROUP, S.L.;29,37;;;;;
STANLEY BLACK DECKER IBER.,SLU;;94,02;;;1229,03;
STIGA, SPA;;;;;;
STOCK PLUS, S.L.;;;;3371,14;;
SUC.DE FALIP NAVARRO,S.A.;172,69;;;126,03;;
SUMINISTROS INDUST.BELLOSO,S.L;;;;970,28;616,2;
SUPER EGO TOOLS, S.L.U;;;;;;
SUZHOU KOTA HARDWARE&TOOLS CO.,LTD;;;;58,75;;
SWISSINNO SOLUTIONS AG;116,1;;;100,03;;
TALLER HNOS.CATALINA, S.A.;17,34;;;14,78;;
TALLERES ESCORIAZA, S.A.U.;;2816,11;;;;
TALLERES MECA. BIANDITZ, S.L.;;;;;;
TALLERES TREPAT, S.A.;;997,5;;;120,22;
TECHXIN ELEC.APPL.MANUF.CO.LTD;;;;;;
TECNICAS EXPANSIVAS, S.L.;;1839,61;;;4966,45;
TECNOLOGIAS DE AISLAMIENTOS Y CLIMATIZACION, SL;;;;;;
TEICOCIL ESPAÑA, S.L.;240,83;;;372,43;;
TELCOMDIS TECNOLOGIA, S.L.;;;;49,45;;
TEMPEL, S.A.;;;;;;
