PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
FREIXER Y COLLELL, S.A.;;;;13,39;;
FUN AND GO 2035, SL;118,16;;;144,50;;
GALA GAR, S.L.;;;;;;
GARCIMA, S.L.;429,91;;;1433,80;;
GARHE, S.A.;;;;;;
GENERAL DE MEDICION, S.L.;;1179,09;;103,88;613,48;
GERIMPORT, S.L.;;;;;;
GERMANS BOADA, S.A.;;2231,48;;112,02;2550,02;
GOIZPER S.COOP.;;5465,67;;69,17;6402,53;
GOLDEN DAY INDUSTRY;;;;73,3;;
GROUPE SEB IBERICA, S.A.;;;;77,88;;
GRUPODESA FASTENERS, S.A.U.;;3214,67;;;6392,67;
GUANGZHOU TOPMAX ENT., LTD.;345,51;;;169,64;;
HENKEL IBERICA ,S.A.;;;;159,42;;
HENKEL IBERICA, S.A. INDUSTRIA;3043,33;;;131;;269,3
HEPYC MANUFACTURING, S.A.U;;6059,97;;;6943,22;
HERTER INSTRUMENTS, S.L.;;;;9,34;;
HEZE JINZHIYU WEB IND.CO.LTD.;;;;134,87;;
HIDROBEX, S.L.;111,58;;;;;
HILOS Y CUERDAS DEL SEGURA, SL;;;;455,41;;
HOZELOCK - EXEL SAS;733,30;;;302,30;;
HUSQVARNA ESPAÑA, S.A;87,76;;;;;
HUSQVARNA ESPAÑA, S.A.;;5494,71;;;245,84;
IBERIA AGUA, S.L.;459;;;595,35;;
IFAM SEGURIDAD, S.L.U.;;1997,60;;;2175,13;
IMEX EL ZORRO, S.L.;140,67;;;159,61;;
IMPEX EUROPA, S.L.;252,84;;;337,12;;
IND STARTER ESPAÑA,  S.L.U;;;;214,14;;
IND. QUIM. CUADRADO, S.A.;306,54;;;487,48;;
INDUAL MOBILIARIO, S.L.;;;;;;
INDUSTRIAL PRECISION TOOLS, SL;83,2;3105,82;;110,92;1515,02;
INDUSTRIAL ZAPATERA,S.A.;926,05;;;661,31;;
INDUSTRIAS AZKOIN, S.L.;;;;105,15;;
INDUSTRIAS FER, S.L.U;;;;;;
INDUSTRIAS IRIS, S.A.;;;;;;
INDUSTRIAS LOTU, S.A.;;;;;;
INDUSTRIAS MURTRA, S.A.;;920,93;;;2867,29;
INDUSTRIAS SAMART, S.A.;;150;;;1805,02;
INDUSTRIAS TAYG, S.L.;310,60;3973,52;;2592,40;1153,54;
INNOV8 IBERIA, SL;;;;9,68;;
INTERMAS NETS, SA;;;;;;
IREGA, S.A;;74,87;;;192,97;
ISOGONA, S.L.;;;;;;
ITEM INTERNACIONAL, S.A.;;;;;;
IZAR CUTTING TOOLS, S.A.L.;;29,92;;;;
JAZ-ZUBIAURRE, S.A.;;;;;107,45;
JCOPLASTIC IBERICA 2000, S.L.;86,19;;;258,57;;
JMA ALEJANDRO ALTUNA, S.L.;77,46;;;280,04;;
JUBA PERSONAL PROT.EQUIP.,S.L;;17914,93;;78,28;11074,07;
JUGUETES INDUSTRIALES S.A.;;;;;;
KARCHER, S.A.;;;;;;
KB8 IBERICA, SLU;70,54;;;;;
KELNO HK LIMITED;630,87;;;862,95;;
KERKOM 360, S.A;;;;19,27;;
KETER IBERIA, S.L.U.;231,49;;;;;
KNIPEX-WERK;2655,26;;;3357,23;;
KOOPMAN INTERNATIONAL, B.V.;;;;;;
KOVYX OUTDOOR, S.L.;;;;;;
KRAFFT, S.L. (Unipersonal);256,86;30064,03;;591,25;35865,56;
KRIPXE. S.A.;;1350,54;;;2180,94;
LABORATORIOS RAYT, S.A.;299,54;;;249,49;;
LAICA IBERIA DISTRIBUCION SL;;;;;;
LEDVANCE, S.A.U.;;;;;;
LINEA PLUS ESSEGE, S.L.U.;;;;;;
MAIOL GERMANS, S.L.;149,83;;;356,49;;
MAKITA ESPAÑA, S.A.;;58981,68;;;67359,84;
MANUEL OBRERO RUIZ, S.A.;184,34;;;;;
MANUFACTURAS ALCO S.A.;;;;39,88;;
MANUFACTURAS GRE, S.A.;;;;;;
MANUFACTURAS M. SOLER, S.L.;;;;145,85;;
