PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
FREIXER Y COLLELL, S.A.;;;;;;
FUN AND GO 2035, SL;;;;;;
GALA GAR, S.L.;;;;;;
GARCIMA, S.L.;19,17;;;603,13;;
GARHE, S.A.;;;;;;
GENERAL DE MEDICION, S.L.;;938,84;;23,62;613,48;
GERIMPORT, S.L.;;;;;;
GERMANS BOADA, S.A.;;1367,88;;95,24;1572,76;
GOIZPER S.COOP.;;3924,55;;;5220,28;
GOLDEN DAY INDUSTRY;;;;73,3;;
GROUPE SEB IBERICA, S.A.;;;;77,88;;
GRUPODESA FASTENERS, S.A.U.;;2670,81;;;4419,11;
GUANGZHOU TOPMAX ENT., LTD.;84,89;;;;;
HAGEBAU GMBH & CO. KG;;;;;;
HENKEL IBERICA ,S.A.;;;;91,61;;
HENKEL IBERICA, S.A. INDUSTRIA;1696,16;;;;;269,3
HEPYC MANUFACTURING, S.A.U;;4383,73;;;4926,90;
HERTER INSTRUMENTS, S.L.;;;;;;
HEZE JINZHIYU WEB IND.CO.LTD.;;;;75,91;;
HILOS Y CUERDAS DEL SEGURA, SL;;;;310,08;;
HOZELOCK - EXEL SAS;322,32;;;231,73;;
HUSQVARNA ESPAÑA, S.A;87,76;;;;;
HUSQVARNA ESPAÑA, S.A.;;1896,71;;;;
IBERIA AGUA, S.L.;315;;;326,85;;
IFAM SEGURIDAD, S.L.U.;;1227,80;;;1179,92;
IMCOINSA 1985, S.L.;;;;;;
IMEX EL ZORRO, S.L.;140,67;;;54,11;;
IMPEX EUROPA, S.L.;168,56;;;168,56;;
INASIA GROUP LIMITED;;;;;;
IND STARTER ESPAÑA,  S.L.U;;;;214,14;;
IND. QUIM. CUADRADO, S.A.;161,89;;;249,48;;
INDUAL MOBILIARIO, S.L.;;;;;;
INDUSTRIAL PRECISION TOOLS, SL;83,2;1423,19;;110,92;1082,16;
INDUSTRIAL ZAPATERA,S.A.;554,30;;;365,06;;
INDUSTRIAS AZKOIN, S.L.;;;;;;
INDUSTRIAS FER, S.L.U;;;;;;
INDUSTRIAS IRIS, S.A.;;;;;;
INDUSTRIAS LOTU, S.A.;;;;;;
INDUSTRIAS MURTRA, S.A.;;920,93;;;1895,20;
INDUSTRIAS SAMART, S.A.;;150;;;726;
INDUSTRIAS TAYG, S.L.;135,42;2335,33;;1364,20;918,57;
INDUSTRIAS TITAN, S.A.;;;;;;
INNOV8 IBERIA, SL;;;;9,68;;
INTERMAS NETS, SA;;;;;;
IREGA, S.A;;74,87;;;192,97;
ISOGONA, S.L.;;;;;;
ITEM INTERNACIONAL, S.A.;;;;;;
IZAR CUTTING TOOLS, S.A.L.;;;;;;
JAZ-ZUBIAURRE, S.A.;;;;;62,01;
JCOPLASTIC IBERICA 2000, S.L.;86,19;;;201,11;;
JMA ALEJANDRO ALTUNA, S.L.;54,04;;;166,00;;
JUBA PERSONAL PROT.EQUIP.,S.L;;10777,05;;78,28;9948,37;
JUGUETES INDUSTRIALES S.A.;;;;;;
KARCHER, S.A.;;;;;;
KB8 IBERICA, SLU;70,54;;;;;
KELNO HK LIMITED;406,18;;;529,11;;
KERKOM 360, S.A;;;;19,27;;
KETER IBERIA, S.L.U.;55,26;;;;;
KNIPEX-WERK;1548,13;;;2277,04;;
KOOPMAN INTERNATIONAL, B.V.;;;;;;
KOVYX OUTDOOR, S.L.;;;;;;
KRAFFT, S.L. (Unipersonal);167,42;16279,42;;299,41;28319,90;
KRIPXE. S.A.;;705,79;;;1834,56;
LABORATORIOS RAYT, S.A.;137,32;;;124,36;;
LAICA IBERIA DISTRIBUCION SL;;;;;;
LEDVANCE, S.A.U.;;;;;;
LINEA PLUS ESSEGE, S.L.U.;;;;;;
MAIOL GERMANS, S.L.;110,53;;;309,52;;
MAKITA ESPAÑA, S.A.;;42614,12;;;41857,53;
MANUEL OBRERO RUIZ, S.A.;184,34;;;;;
MANUFACTURAS ALCO S.A.;;;;;;
MANUFACTURAS GRE, S.A.;;;;;;
MANUFACTURAS M. SOLER, S.L.;;;;10,04;;
MAQUINARIA DISBER, S.L.;116,74;;;169,05;;
MARCA PROTECCION LABORAL, S.L.;;4176,97;;569,06;3926,17;
MEPLAS JAR, S.L.;;5452,16;;;8749,46;
METALTEX IBERIA, S.L.;2,13;;;;;
MIARCO, S.L.;;;;;295,39;
MICEL-VEGA, S.L.;;;;;;
MIRALBUENO PRODUCTS, S.L.;;;;;923,28;
MODERN BATH STAGE,S.L.;;;;13,16;;
MOTORES CAMPEON, S.L.;828,57;1763,62;;425,57;;
NEVIR, S.A.;49,46;;;49,46;;
NINGBO ZHONGLIN FOREIGN TRADE CO., LTD;;;;;;
NMZ, SL;;;;;;
NORTENE HOME DEPOT SL;205,37;1430,37;;196,14;10168,12;
NOVARTIX TRADING, S.L.;261,68;;;;;
NOVODINAMICA SL;;;;;177;
OLIPES, S.L.;;;;;;
OLIVERAS GUERRIS, S.A.;67,05;;;54;;
OPTOR, S.A.U.;96,34;1168,06;;96,34;2311,58;
PAPELES EL CARMEN, S.A.;;;;32,25;;
PFERD-RUGGEBERG, S.A.;;590,66;;;716,66;
PLABELL COMERCIAL, S.L.;;;;;;
PLASTICOS TA-TAY, S.A.;74,75;;;118,31;;
PLASVIDAVI INYECCION, S.L.;;;;;;
PONTAROLO ENGINEERING SPA;;;;;;
PRIMICIAS TECN. CARDI, S.L.;161,71;;;189,64;;
PROCO-DIS, S.L.;12,25;;;;;
PRODUCTOS CLIMAX S.A.;548,52;2051,72;;;3165,05;
PRODUCTOS FLOWER, S.A.;;;;25,93;;
PRODUCTOS McLAND, S.L.;137,45;;;180,02;540,77;
PRODUCTOS QP, S.A.;;;;;;
QINGDAO GOLD-DRAGON CO., LTD;;;;295,52;;
QUIMICA DEL CENTRO, S.A.U.;174,76;;;165,49;;
QUIMIMONT, S.L.U;;;;;522,71;
RADIO CARRERA, S.A;536,43;;;;;
RESINAS OLOT, S.L.;;;;;;
RIOJA MOMOSA 93, S.L;;1110,08;;;1863,37;
RIVER INTERNATIONAL, S.A.;;;;;;
ROBERT BOSCH ESPAÑA, S.L.U.;628,73;;;392,18;;
ROLSER, S.A.;75,05;;;224,63;;
ROMBULL RONETS, S.L.;377,29;191,22;;;126,4;
RUEDAS ALEX, S.L.U.;;2416,14;;;6312,29;
RUGART PLASTICOS IBERICA, SL;702,19;;;684,32;;
RULO PLUMA, S.A.;;986,75;;67,8;754,55;
S.A. HERRAJES DE CORREDERA;;1678,58;;;800,80;
SAINT GENIS, S.A.;;;;1,52;;
SAINT GOBAIN ABRASIVOS, S.A.;157,72;1746,4;;160,40;900,45;
SAMOA INDUSTRIAL, S.A.;;2416,33;;;759,36;
SANZ HERMANOS VALENCIA, S.L;;75,26;;;;
SAUVIC, S.L.;;;;;;
SEDILES, S.A.;84,93;;;235,97;;
SEINEC, S.A.;369,81;;;405,79;;
SELENA IBERIA, S.L.U.;;;;;;
SHANGHAI STONG INDUSTRY CO., LTD;19,81;;;;;
